metric,baseline_mean,baseline_stddev,baseline_cv,optimized_mean,optimized_stddev,optimized_cv
lineAvailability,0.999935,0.000257,0.000257,1.000000,0.000000,0.000000
unplannedDowntimeCount,0.326000,1.281939,3.932328,0.000000,0.000000,0.000000
unplannedDowntimeMinutes,59.273601,233.259463,3.935301,0.000000,0.000000,0.000000
avgCycleMinutes,63.929361,0.962550,0.015056,63.917969,0.956682,0.014967
changeoverEventCount,143.061000,17.091501,0.119470,142.850000,17.096426,0.119681
wipPeak,101.192000,15.218697,0.150394,100.836000,15.241897,0.151155
rippleEffectMinutes,2.953983,14.476204,4.900571,0.000000,0.000000,0.000000
predictionLeadTimeHours,9.769755,17.573165,1.798731,0.000000,0.000000,0.000000
maintenanceCost,29845.849462,9557.138005,0.320217,3946.512826,5963.353744,1.511044
plannedMaintMinutes,10884.455167,1229.977354,0.113003,1578.605130,2385.341498,1.511044
completedCount,951.563000,27.354969,0.028747,951.905000,27.183136,0.028557
